time,follower
2022-07-26 10:23:08,940858
2022-07-26 10:34:55,940909
2022-07-26 10:46:41,940959
2022-07-26 10:58:27,941008
2022-07-26 11:09:15,941047
2022-07-26 11:19:52,941095
2022-07-26 11:31:31,941140
2022-07-26 11:43:07,941193
2022-07-26 11:56:34,941249
2022-07-26 12:09:44,941291
2022-07-26 12:22:53,941349
2022-07-26 12:35:41,941411
2022-07-26 12:47:43,941474
2022-07-26 12:59:23,941526
2022-07-26 13:10:59,941564
2022-07-26 13:22:07,941603
2022-07-26 13:33:28,941642
2022-07-26 13:45:15,941696
2022-07-26 13:56:49,941740
2022-07-26 14:07:50,941789
2022-07-26 14:18:56,941829
2022-07-26 14:29:35,941879
2022-07-26 14:46:01,941928
2022-07-26 14:56:36,941968
2022-07-26 15:12:45,942015
2022-07-26 15:28:39,942063
2022-07-26 15:44:20,942117
2022-07-26 15:54:50,942158
2022-07-26 16:05:45,942202
2022-07-26 16:16:44,942246
2022-07-26 16:27:42,942288
2022-07-26 16:38:45,942334
2022-07-26 16:48:52,942370
2022-07-26 16:59:08,942411
2022-07-26 17:09:41,942450
2022-07-26 17:21:06,942488
2022-07-26 17:32:44,942528
2022-07-26 17:43:31,942567
2022-07-26 17:59:02,942620
2022-07-26 18:09:37,942657
2022-07-26 18:19:57,942705
2022-07-26 18:34:51,942762
2022-07-26 18:49:49,942813
2022-07-26 18:59:56,942855
2022-07-26 19:10:12,942897
2022-07-26 19:25:05,942948
2022-07-26 19:35:10,942992
2022-07-26 19:45:04,943031
2022-07-26 19:59:55,943088
2022-07-26 20:09:55,943141
2022-07-26 20:19:49,943203
2022-07-26 20:29:59,943252
2022-07-26 20:39:54,943314
2022-07-26 20:49:57,943358
2022-07-26 20:55:00,943395
2022-07-26 21:05:11,943498
2022-07-26 21:10:07,943592
2022-07-26 21:14:56,943655
2022-07-26 21:20:18,943736
2022-07-26 21:25:08,943801
2022-07-26 21:29:59,943857
2022-07-26 21:35:10,943929
2022-07-26 21:40:02,943997
2022-07-26 21:45:17,944059
2022-07-26 21:50:17,944126
2022-07-26 21:55:00,944187
2022-07-26 22:00:13,944250
2022-07-26 22:05:26,944318
2022-07-26 22:10:23,944378
2022-07-26 22:15:16,944428
2022-07-26 22:20:23,944471
2022-07-26 22:30:20,944553
2022-07-26 22:35:17,944623
2022-07-26 22:40:14,944672
2022-07-26 22:45:20,944737
2022-07-26 22:50:16,944786
2022-07-26 22:55:26,944859
2022-07-26 23:05:33,944935
2022-07-26 23:10:32,944973
2022-07-26 23:20:24,945014
2022-07-26 23:30:26,945059
2022-07-26 23:40:31,945115
2022-07-26 23:45:38,945151
2022-07-26 23:55:51,945209
2022-07-27 00:05:54,945283
2022-07-27 00:10:56,945329
2022-07-27 00:16:02,945372
2022-07-27 00:21:05,945410
2022-07-27 00:31:37,945479
2022-07-27 00:42:36,945542
2022-07-27 00:48:48,945582
2022-07-27 01:01:14,945631
2022-07-27 01:13:49,945688
2022-07-27 01:26:09,945736
2022-07-27 01:32:12,945773
2022-07-27 01:51:37,945811
2022-07-27 02:26:14,945853
2022-07-27 03:37:24,945892
2022-07-27 04:33:02,945930
2022-07-27 06:14:54,945966
2022-07-27 07:34:34,946006
2022-07-27 08:07:18,946044
2022-07-27 08:37:29,946090
2022-07-27 08:58:33,946131
2022-07-27 09:25:59,946173
2022-07-27 09:40:24,946210
2022-07-27 09:53:43,946251
2022-07-27 10:06:45,946298
2022-07-27 10:26:01,946358
2022-07-27 10:39:04,946401
2022-07-27 10:51:49,946455
2022-07-27 11:03:22,946494
2022-07-27 11:15:09,946532
2022-07-27 11:26:30,946590
2022-07-27 11:38:28,946647
